carat,x,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
1.01,6.53,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4853
2.21,8.47,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,15948
0.38,4.67,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,740
0.39,4.7,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,988
1.02,6.49,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,5257
2.01,8.09,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,12964
0.3,4.34,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,886
0.7,5.68,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2196
1.0,6.35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3819
0.41,4.83,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,976
0.43,4.85,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1207
0.32,4.38,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,758
0.31,4.37,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,660
1.2,6.79,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,8669
0.39,4.62,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,650
0.3,4.34,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,863
1.0,6.47,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,9354
0.31,4.36,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,891
1.53,7.39,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,14699
1.31,7.01,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,6617
1.01,6.37,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,4812
0.53,5.13,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,1174
0.35,4.51,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,945
1.38,7.06,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,4598
0.78,6.03,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2803
1.07,6.62,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,4126
0.31,4.4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,471
0.51,5.07,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,1438
1.05,6.51,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,6981
0.4,4.7,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,765
0.32,4.38,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,842
0.33,4.45,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,854
1.0,6.54,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,4200
1.01,6.43,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,5339
0.32,4.4,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,702
0.9,6.21,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,3445
0.51,5.15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1787
0.38,4.68,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1069
0.33,4.45,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,946
0.33,4.47,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,713
1.09,6.58,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,8778
0.69,5.75,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1951
0.77,5.95,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2922
0.73,5.83,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,3288
0.7,5.62,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2656
1.01,6.36,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,5988
0.7,5.65,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2333
0.33,4.39,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,492
1.03,6.52,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3230
0.33,4.46,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,984
1.5,7.37,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,9173
