carat,cut,color,clarity,depth,table,x,y,z,price
1.01,Premium,E,SI1,59.6,59.0,6.53,6.46,3.87,4853
2.21,Ideal,G,SI2,60.1,60.0,8.47,8.53,5.11,15948
0.38,Very Good,E,VS2,61.2,56.0,4.67,4.71,2.87,740
0.39,Ideal,F,VVS2,62.0,54.0,4.7,4.72,2.92,988
1.02,Ideal,H,SI1,61.2,56.0,6.49,6.51,3.98,5257
2.01,Good,I,SI2,59.1,59.0,8.09,8.14,4.8,12964
0.3,Ideal,F,IF,62.2,53.0,4.34,4.38,2.71,886
0.7,Premium,F,SI1,62.1,59.0,5.68,5.72,3.54,2196
1.0,Fair,H,VS2,64.8,55.0,6.35,6.28,4.09,3819
0.41,Very Good,G,VS1,60.6,56.0,4.83,4.87,2.94,976
0.43,Ideal,D,VS1,61.6,56.0,4.85,4.86,2.99,1207
0.32,Ideal,E,VS1,61.9,56.0,4.38,4.41,2.72,758
0.31,Ideal,E,SI1,61.5,55.0,4.37,4.41,2.7,660
1.2,Premium,F,VS1,61.8,59.0,6.79,6.76,4.19,8669
0.39,Very Good,E,SI2,63.0,61.0,4.62,4.65,2.92,650
0.3,Ideal,G,IF,60.7,57.0,4.34,4.39,2.65,863
1.0,Ideal,F,VVS2,61.9,57.0,6.47,6.42,3.99,9354
0.31,Ideal,G,IF,61.0,57.0,4.36,4.39,2.67,891
1.53,Premium,G,VS1,62.6,60.0,7.39,7.3,4.6,14699
1.31,Ideal,I,VS1,62.1,56.0,7.01,7.04,4.36,6617
1.01,Very Good,F,SI1,62.7,56.0,6.37,6.39,4.0,4812
0.53,Very Good,E,SI2,63.0,57.0,5.13,5.16,3.24,1174
0.35,Ideal,F,VVS1,61.5,55.0,4.51,4.56,2.79,945
1.38,Good,J,SI2,63.7,58.0,7.06,7.01,4.48,4598
0.78,Premium,G,VS2,60.8,58.0,6.03,5.95,3.64,2803
1.07,Premium,I,SI1,61.2,58.0,6.62,6.55,4.03,4126
0.31,Very Good,G,VS2,58.8,62.0,4.4,4.41,2.59,471
0.51,Very Good,G,VS2,62.3,59.0,5.07,5.1,3.17,1438
1.05,Ideal,G,VS2,61.6,59.0,6.51,6.54,4.02,6981
0.4,Very Good,G,SI2,63.1,59.0,4.7,4.65,2.95,765
0.32,Ideal,E,VVS2,62.0,55.0,4.38,4.4,2.72,842
0.33,Premium,H,VVS2,61.6,58.0,4.45,4.42,2.73,854
1.0,Premium,I,SI1,60.5,59.0,6.54,6.49,3.94,4200
1.01,Very Good,E,SI1,61.1,57.0,6.43,6.46,3.94,5339
0.32,Ideal,F,VS1,61.3,56.0,4.4,4.44,2.71,702
0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3445
0.51,Ideal,D,VS2,61.6,56.0,5.15,5.17,3.18,1787
0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,1069
0.33,Ideal,G,IF,60.9,57.0,4.45,4.48,2.72,946
0.33,Ideal,G,VVS2,61.5,55.0,4.47,4.51,2.76,713
1.09,Ideal,G,VVS1,62.1,55.0,6.58,6.63,4.1,8778
0.69,Good,F,SI1,58.4,61.7,5.75,5.82,3.38,1951
0.77,Ideal,D,SI2,60.6,56.0,5.95,5.9,3.59,2922
0.73,Very Good,G,VVS2,61.4,58.0,5.83,5.86,3.59,3288
0.7,Ideal,E,SI1,62.6,55.0,5.62,5.66,3.53,2656
1.01,Premium,F,VS2,62.1,60.0,6.36,6.43,3.97,5988
0.7,Premium,H,VS1,62.3,60.0,5.65,5.61,3.51,2333
0.33,Premium,G,SI1,62.3,59.0,4.39,4.44,2.75,492
1.03,Ideal,H,I1,61.5,57.0,6.52,6.48,4.0,3230
0.33,Ideal,E,VVS1,61.5,56.0,4.46,4.49,2.75,984
1.5,Good,D,SI2,60.2,65.0,7.37,7.34,4.43,9173
0.7,Very Good,I,SI1,61.6,63.0,5.68,5.59,3.47,1856
1.2,Ideal,I,SI1,62.2,57.0,6.8,6.77,4.22,4368
0.27,Ideal,E,VS2,60.8,56.0,4.25,4.23,2.58,537
0.46,Very Good,E,VS1,58.7,60.0,5.08,5.15,3.0,1452
0.28,Ideal,H,VVS2,61.6,56.0,4.22,4.26,2.61,514
0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1443
0.32,Ideal,I,VVS2,62.2,54.5,4.38,4.42,2.74,567
0.74,Very Good,J,VS1,62.7,58.0,5.75,5.8,3.62,2170
1.7,Premium,E,SI1,61.8,58.0,7.62,7.52,4.68,15804
0.39,Premium,J,VS1,61.0,62.0,4.71,4.66,2.86,790
1.01,Good,J,VS2,62.8,58.0,6.3,6.35,3.97,3655
0.9,Very Good,F,SI1,63.4,56.0,6.06,6.12,3.86,3898
0.41,Ideal,D,SI1,62.3,55.0,4.79,4.77,2.98,1015
0.3,Premium,G,VVS2,61.9,59.0,4.28,4.25,2.64,878
0.36,Very Good,E,VS2,62.8,55.0,4.49,4.56,2.84,789
0.4,Premium,F,VS1,62.5,57.0,4.72,4.69,2.94,1050
0.79,Ideal,E,VS2,59.3,57.0,6.02,6.06,3.58,3377
0.55,Premium,G,SI2,60.3,58.0,5.35,5.33,3.22,1186
0.26,Very Good,E,VVS1,61.4,55.0,4.12,4.16,2.54,532
1.12,Ideal,J,SI1,62.4,57.0,6.65,6.6,4.14,4840
0.28,Ideal,F,SI1,60.6,55.0,4.26,4.3,2.6,481
0.7,Fair,G,VS1,57.1,62.0,5.89,5.94,3.38,2553
0.35,Ideal,D,SI1,62.3,55.0,4.51,4.54,2.82,644
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,561
0.91,Good,G,SI2,63.6,59.0,6.15,6.11,3.9,3282
0.35,Very Good,E,VS1,59.9,59.9,4.54,4.59,2.73,885
0.61,Very Good,D,VS1,60.9,56.0,5.49,5.51,3.35,2481
0.31,Premium,J,VS1,61.8,59.0,4.33,4.31,2.67,523
0.55,Very Good,J,SI1,62.5,57.0,5.22,5.24,3.27,965
0.3,Very Good,H,SI1,61.3,61.0,4.25,4.27,2.61,421
0.55,Ideal,D,VS2,61.0,56.0,5.31,5.28,3.23,1768
1.52,Premium,H,VS1,61.4,58.0,7.44,7.3,4.55,11621
1.3,Premium,D,SI2,61.5,58.0,6.98,6.91,4.27,7044
0.45,Very Good,G,SI2,59.7,61.0,4.95,5.0,2.97,764
1.07,Premium,G,SI2,62.0,59.0,6.54,6.5,4.04,4401
1.52,Premium,E,VS1,60.6,58.0,7.38,7.44,4.49,16628
0.55,Ideal,E,VS2,61.4,56.0,5.26,5.32,3.25,1667
0.34,Ideal,G,IF,61.3,56.0,4.52,4.55,2.78,974
0.3,Very Good,H,VS1,63.0,59.0,4.21,4.27,2.67,526
1.22,Premium,G,VS2,61.8,58.0,6.84,6.91,4.25,8213
0.4,Ideal,H,SI1,62.6,52.0,4.73,4.76,2.97,705
1.01,Fair,E,SI1,56.8,61.0,6.59,6.62,3.75,5185
0.3,Very Good,D,VVS2,60.6,58.0,4.33,4.35,2.63,2366
0.41,Ideal,H,VS2,61.5,55.0,4.78,4.81,2.95,743
1.0,Very Good,I,VS2,61.9,59.0,6.35,6.38,3.94,5020
2.2,Ideal,H,SI2,60.0,58.0,8.47,8.5,5.09,16530
0.7,Ideal,I,SI2,61.5,53.0,5.74,5.77,3.54,1702
0.36,Ideal,H,SI1,62.3,57.0,4.58,4.54,2.84,648
0.51,Very Good,D,VS2,63.7,55.0,5.05,5.09,3.23,1599
1.51,Good,H,VS2,64.0,59.0,7.25,7.19,4.62,10000
0.47,Ideal,E,SI2,61.5,55.0,4.98,5.04,3.08,931
0.4,Good,E,SI1,63.5,56.0,4.67,4.72,2.98,737
0.71,Very Good,E,VVS2,61.7,60.0,5.7,5.74,3.53,3376
0.7,Good,E,VS1,59.4,61.0,5.79,5.83,3.45,3063
0.51,Ideal,E,SI1,61.5,55.0,5.18,5.16,3.18,1546
0.77,Premium,E,VS2,60.5,59.0,5.98,5.92,3.6,3234
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1656
1.01,Premium,F,VVS2,61.8,55.0,6.45,6.36,3.96,8688
0.4,Ideal,F,VS1,61.3,56.0,4.76,4.73,2.91,1050
0.3,Premium,I,VS1,60.4,58.0,4.4,4.34,2.64,608
0.74,Good,D,VVS1,59.2,62.6,5.85,5.87,3.47,4274
1.31,Ideal,F,SI1,61.6,55.0,7.04,7.09,4.35,9331
0.54,Ideal,F,VS1,61.8,54.0,5.24,5.27,3.25,1724
0.38,Ideal,F,SI1,61.1,57.0,4.7,4.72,2.88,660
1.1,Ideal,E,SI2,61.6,56.0,6.66,6.63,4.09,5359
0.7,Very Good,F,IF,61.5,58.0,5.65,5.7,3.49,3887
0.3,Premium,D,SI1,62.3,59.0,4.25,4.22,2.64,709
0.71,Very Good,J,SI2,60.9,55.0,5.76,5.87,3.54,1986
1.5,Premium,J,SI2,61.0,60.0,7.34,7.3,4.46,6048
0.41,Very Good,I,VVS2,61.3,60.0,4.77,4.82,2.94,811
1.03,Ideal,F,SI1,62.6,57.0,6.42,6.46,4.03,5366
0.81,Ideal,H,IF,61.6,58.0,5.98,6.01,3.69,4111
0.72,Ideal,F,VS1,62.4,56.0,5.76,5.72,3.58,3084
0.7,Premium,F,SI1,62.2,59.0,5.73,5.69,3.55,2423
0.54,Ideal,I,VS1,61.6,54.0,5.26,5.3,3.25,1216
0.53,Ideal,G,IF,62.1,57.0,5.16,5.21,3.22,2372
0.47,Ideal,I,VS2,62.1,54.0,4.98,5.0,3.1,884
0.31,Ideal,F,VS1,61.0,56.0,4.38,4.4,2.68,642
1.5,Ideal,H,SI1,62.0,55.0,7.29,7.34,4.54,10989
0.3,Premium,E,SI1,62.5,59.0,4.28,4.3,2.68,526
0.38,Ideal,G,VS1,60.8,56.0,4.71,4.66,2.85,1069
0.8,Premium,H,SI2,61.6,59.0,5.92,5.86,3.63,2409
0.29,Very Good,G,VS2,61.7,56.0,4.27,4.3,2.64,471
1.06,Very Good,H,VS1,62.2,59.0,6.47,6.52,4.04,5456
1.24,Ideal,I,SI2,60.7,57.0,6.98,6.92,4.22,4937
0.3,Ideal,H,VVS1,61.2,57.0,4.3,4.39,2.66,655
0.31,Ideal,F,IF,62.1,55.0,4.32,4.38,2.7,914
0.31,Ideal,F,IF,62.2,54.0,4.37,4.41,2.73,914
1.09,Premium,D,SI2,61.2,60.0,6.6,6.64,4.05,5164
1.01,Good,G,VS1,63.8,56.0,6.27,6.34,4.02,6283
0.52,Ideal,E,VVS2,61.8,56.0,5.15,5.18,3.19,2430
0.38,Ideal,D,VVS1,61.3,56.0,4.65,4.71,2.87,1400
0.41,Premium,E,VS1,62.8,58.0,4.72,4.7,2.96,1153
2.07,Premium,J,VS2,61.5,59.0,8.2,8.16,5.03,13800
1.01,Good,D,VS1,62.2,62.0,6.29,6.41,3.95,7303
0.7,Premium,F,VVS2,62.5,59.0,5.68,5.61,3.53,3018
1.03,Ideal,I,VS2,61.2,56.0,6.5,6.51,3.98,5378
0.41,Premium,D,VVS1,61.6,58.0,4.78,4.74,2.93,1582
0.58,Ideal,H,IF,61.6,57.0,5.34,5.37,3.3,2211
2.0,Fair,H,I1,69.8,54.0,7.6,7.56,5.29,5914
0.4,Ideal,E,VS2,61.1,56.0,4.77,4.75,2.91,975
1.0,Good,E,SI2,61.0,61.0,6.37,6.44,3.91,4394
0.5,Ideal,I,SI2,62.2,53.0,5.11,5.14,3.19,895
0.34,Very Good,E,SI2,63.1,56.0,4.51,4.46,2.83,571
0.41,Ideal,F,VVS1,61.8,57.0,4.75,4.79,2.95,1295
0.32,Good,D,SI1,63.7,55.0,4.38,4.35,2.78,756
0.27,Ideal,E,VVS2,62.1,57.0,4.13,4.15,2.57,622
0.4,Ideal,G,VVS1,61.2,56.0,4.79,4.75,2.92,1200
0.31,Ideal,E,VS2,60.8,54.0,4.4,4.39,2.67,872
1.2,Ideal,F,VS1,62.1,58.0,6.78,6.84,4.23,10367
0.27,Ideal,F,IF,61.8,55.0,4.16,4.19,2.58,796
0.53,Ideal,G,VVS2,60.4,56.0,5.29,5.24,3.18,2051
2.3,Premium,I,SI2,61.3,58.0,8.53,8.46,5.21,11051
1.35,Very Good,I,SI2,58.6,63.0,7.28,7.19,4.24,5579
0.5,Good,G,SI2,63.8,57.0,4.98,5.02,3.19,1009
1.09,Ideal,D,SI2,62.1,56.0,6.56,6.59,4.08,5164
2.01,Ideal,I,SI2,62.3,57.0,8.06,8.08,5.03,13796
0.48,Very Good,D,IF,60.6,55.0,5.08,5.12,3.09,2677
0.57,Very Good,E,VS2,62.9,57.0,5.26,5.29,3.32,1851
0.9,Very Good,G,VS2,60.5,60.0,6.2,6.24,3.76,4296
1.0,Very Good,G,VVS2,62.7,57.0,6.32,6.37,3.98,7950
0.31,Ideal,D,VVS1,62.3,54.0,4.36,4.4,2.73,949
0.3,Ideal,G,VS1,62.9,57.0,4.31,4.28,2.7,776
0.7,Ideal,D,SI2,62.1,55.0,5.68,5.73,3.54,2553
1.52,Premium,G,SI1,62.2,58.0,7.39,7.33,4.58,8512
0.3,Very Good,G,VVS2,62.3,59.0,4.25,4.29,2.66,684
1.4,Ideal,H,IF,60.9,57.0,7.22,7.29,4.42,10976
1.52,Ideal,I,IF,62.2,57.0,7.27,7.33,4.54,10419
0.3,Ideal,H,SI1,62.2,57.0,4.26,4.29,2.66,450
3.01,Premium,G,SI2,59.8,58.0,9.44,9.37,5.62,14220
1.0,Fair,G,VS2,44.0,53.0,6.31,6.24,4.12,4032
1.11,Premium,H,VS2,61.7,58.0,6.64,6.69,4.11,5450
0.41,Ideal,H,VVS1,62.7,54.0,4.79,4.78,3.0,1115
0.51,Premium,G,SI2,60.8,59.0,5.2,5.19,3.16,1052
0.54,Very Good,E,VS2,62.6,60.0,5.26,5.19,3.27,1426
0.8,Good,E,SI2,57.7,65.0,6.13,6.08,3.52,2640
1.16,Premium,F,SI2,62.1,59.0,6.71,6.76,4.18,5072
1.01,Premium,H,VS2,61.6,59.0,6.41,6.39,3.94,5260
0.4,Ideal,G,SI2,61.8,56.0,4.75,4.77,2.94,654
0.31,Ideal,H,VVS2,61.3,56.0,4.37,4.4,2.69,778
0.71,Very Good,G,VS2,62.9,57.0,5.69,5.72,3.59,2598
0.53,Ideal,H,VVS1,61.2,56.0,5.25,5.27,3.22,1842
0.93,Good,J,SI1,63.7,54.0,6.15,6.09,3.9,2438
1.0,Fair,G,VS2,69.8,54.0,6.03,5.94,4.18,4435
0.34,Ideal,E,VS2,62.6,57.0,4.45,4.47,2.79,745
0.7,Ideal,H,VS2,63.0,55.0,5.7,5.67,3.58,2536
1.22,Ideal,J,SI1,62.3,55.0,6.91,6.83,4.28,5192
0.41,Premium,F,VS1,60.8,58.0,4.82,4.76,2.91,1076
0.78,Ideal,H,VVS2,62.1,56.0,5.88,5.9,3.66,3581
1.41,Good,H,VS2,63.8,60.0,7.04,7.12,4.52,9088
0.3,Ideal,H,VVS2,61.7,54.0,4.34,4.31,2.67,776
0.7,Very Good,I,VVS2,63.1,57.0,5.63,5.68,3.57,2398
0.33,Premium,I,VVS2,61.5,58.0,4.43,4.45,2.73,579
1.01,Ideal,G,VS1,61.5,56.0,6.48,6.43,3.97,6794
0.5,Very Good,E,VS2,62.4,57.0,5.01,5.03,3.13,1568
0.31,Very Good,E,VVS2,61.5,55.0,4.37,4.41,2.7,710
1.3,Premium,F,VVS1,59.3,59.0,7.11,7.08,4.22,14196
0.45,Ideal,G,SI2,61.9,54.0,4.91,4.95,3.05,709
1.53,Ideal,G,VVS2,61.0,55.0,7.44,7.5,4.56,15365
0.32,Ideal,D,VVS1,61.9,56.0,4.39,4.36,2.71,1140
0.5,Premium,G,VVS2,62.1,61.0,5.1,5.07,3.16,1806
0.71,Premium,F,SI2,62.2,57.0,5.66,5.6,3.5,2040
1.01,Premium,F,SI2,62.7,58.0,6.38,6.32,3.98,3733
1.21,Premium,H,VS2,61.0,58.0,6.9,6.83,4.19,7142
0.31,Very Good,G,SI2,63.3,54.0,4.34,4.29,2.73,523
1.05,Ideal,D,VS2,61.0,56.0,6.54,6.61,4.01,8451
1.0,Very Good,F,VS2,62.9,59.0,6.3,6.33,3.97,5929
1.06,Premium,I,SI1,62.9,60.0,6.47,6.43,4.06,4155
0.9,Good,H,SI2,63.6,60.0,6.11,6.06,3.87,3193
1.17,Premium,I,SI1,62.6,58.0,6.71,6.64,4.18,4914
0.52,Very Good,D,VS1,62.6,59.0,5.03,5.13,3.18,1860
0.3,Ideal,D,VS2,61.8,55.0,4.35,4.32,2.68,778
0.44,Good,J,VS1,63.1,57.0,4.83,4.87,3.06,694
1.01,Good,H,SI2,64.1,56.0,6.37,6.3,4.06,3111
1.11,Ideal,H,SI2,61.5,55.0,6.65,6.69,4.1,4883
1.52,Ideal,E,SI1,62.8,55.0,7.3,7.35,4.6,12431
0.75,Ideal,E,SI2,62.6,55.0,5.72,5.79,3.6,3129
0.72,Ideal,G,VS1,61.8,56.0,5.74,5.76,3.55,3478
2.08,Ideal,H,SI1,61.7,58.0,8.13,8.21,5.04,17469
1.08,Ideal,E,VS1,61.6,57.0,6.58,6.61,4.06,8674
0.31,Very Good,G,VS2,60.9,57.0,4.37,4.39,2.67,559
0.42,Premium,E,VS2,61.0,60.0,4.85,4.82,2.95,1024
0.54,Ideal,I,VS1,61.2,58.0,5.24,5.29,3.22,1304
1.21,Premium,H,SI2,61.1,60.0,6.91,6.86,4.21,5082
0.8,Premium,E,SI2,59.9,58.0,6.03,5.96,3.59,2939
0.8,Premium,E,SI2,59.1,61.0,6.03,5.99,3.55,2304
0.34,Ideal,E,VS2,62.4,55.0,4.48,4.53,2.81,745
0.39,Ideal,F,VVS2,61.9,54.8,4.68,4.69,2.9,1036
1.03,Ideal,D,SI2,61.8,56.0,6.46,6.51,4.01,4679
0.71,Ideal,G,SI1,61.4,57.0,5.76,5.71,3.52,2386
0.55,Very Good,E,VS2,61.5,56.0,5.25,5.28,3.24,1786
0.5,Very Good,G,VVS2,62.4,56.0,5.06,5.1,3.17,1723
1.5,Good,I,VS1,57.2,62.0,7.64,7.61,4.36,9702
1.75,Ideal,G,VS2,62.6,56.0,7.72,7.65,4.81,16783
0.58,Premium,F,SI2,63.0,56.0,5.34,5.26,3.34,1226
0.3,Ideal,I,VVS2,62.2,56.0,4.25,4.3,2.66,495
2.25,Premium,J,SI1,61.8,61.0,8.46,8.39,5.21,16004
0.41,Ideal,E,SI1,62.1,54.0,4.76,4.81,2.97,755
2.01,Premium,J,SI1,63.0,57.0,8.07,8.0,5.06,13219
1.11,Very Good,F,VS1,60.7,55.0,6.69,6.71,4.07,8528
1.0,Premium,E,SI2,62.8,59.0,6.34,6.3,3.97,4200
0.85,Very Good,E,VS2,60.2,60.0,6.09,6.14,3.68,3871
0.51,Ideal,I,VS1,62.0,57.0,5.1,5.13,3.17,1376
0.74,Very Good,G,SI1,63.5,60.0,5.73,5.68,3.62,2468
1.09,Ideal,H,SI1,61.9,56.0,6.64,6.61,4.1,4871
0.33,Ideal,G,VVS1,62.0,56.0,4.48,4.45,2.77,1114
2.0,Ideal,I,VS1,62.3,56.0,8.08,8.03,5.02,12907
0.7,Very Good,J,SI2,63.2,60.0,5.58,5.62,3.54,1959
0.41,Premium,E,VS1,61.9,59.0,4.8,4.77,2.96,1153
0.74,Ideal,I,VVS1,62.3,55.0,5.77,5.82,3.61,2715
0.33,Ideal,F,VVS2,61.4,57.0,4.43,4.46,2.73,824
0.73,Ideal,I,VS1,61.6,55.0,5.77,5.79,3.56,2596
0.3,Very Good,D,VS2,62.8,57.0,4.29,4.31,2.7,710
0.32,Ideal,F,IF,60.3,58.0,4.45,4.5,2.7,929
0.7,Good,D,SI2,58.2,63.0,5.78,5.83,3.38,2583
1.23,Ideal,H,SI2,62.4,57.0,6.79,6.84,4.25,6152
0.68,Very Good,G,IF,62.7,56.0,5.56,5.6,3.5,3143
0.58,Ideal,E,SI2,62.8,56.0,5.3,5.37,3.35,1346
0.32,Ideal,G,VS2,62.0,57.0,4.41,4.39,2.73,720
1.22,Premium,H,SI1,61.8,57.0,6.86,6.82,4.23,6776
0.73,Ideal,G,SI2,61.1,57.0,5.8,5.82,3.55,2376
0.74,Ideal,E,VVS2,62.2,57.0,5.78,5.83,3.61,4082
0.6,Good,E,VS1,58.1,63.0,5.53,5.63,3.24,2065
0.31,Premium,G,IF,61.0,59.0,4.36,4.33,2.65,988
0.31,Good,E,VVS1,60.9,61.0,4.32,4.35,2.64,725
0.34,Ideal,H,SI1,61.3,57.0,4.54,4.55,2.78,526
1.58,Ideal,I,SI1,61.7,56.0,7.47,7.5,4.62,11110
1.02,Ideal,D,VVS2,62.2,59.0,6.41,6.46,4.0,11573
1.5,Ideal,I,SI1,62.1,55.0,7.32,7.36,4.56,8685
0.3,Ideal,H,VVS2,61.6,55.0,4.34,4.3,2.66,776
1.06,Ideal,F,VVS2,62.1,57.0,6.54,6.5,4.05,9118
0.33,Premium,D,VS1,60.3,61.0,4.51,4.48,2.71,933
0.71,Ideal,H,SI2,62.6,56.0,5.75,5.69,3.58,1800
1.46,Premium,G,SI2,59.5,59.0,7.34,7.29,4.35,7931
0.75,Ideal,G,VS2,60.6,55.0,5.91,5.93,3.59,2991
0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,3468
0.56,Ideal,F,VVS2,61.0,56.0,5.33,5.35,3.26,2119
